aror,asd,variable,color
3.3794713,8.865858,Local Government Studies,#d62728
3.650012,8.969931,Politics,#d62728
3.567005,8.89492,Policy Studies,#d62728
8.296096,-2.892791,"Evidence & Policy: A Journal of Research, Debate and Practice",#d62728
-1.0629177,1.2656561,Political Geography,#d62728
-1.4937294,0.9371984,Environment and Planning A,#d62728
4.569444,7.9168463,Journal of Contemporary Religion,#d62728
3.7135456,8.736458,The British Journal of Politics and International Relations,#d62728
4.7347116,7.0559077,Disability & Society,#d62728
7.2874002,-0.30821985,"Culture, Health & Sexuality",#d62728
-7.556234,1.4770349,Journal of Biomedical Informatics,#1f77b4
4.218175,8.581052,European Sociological Review,#d62728
3.8589482,8.637551,Journal of Civil Society,#d62728
-9.564964,3.6844704,privacy in statistical databases,#1f77b4
3.7313812,8.411524,European Societies,#d62728
-1.2358054,0.8920055,Population Space and Place,#d62728
4.227658,8.028918,Current Sociology,#d62728
4.548623,7.478826,International Journal of Social Research Methodology,#d62728
9.7165575,0.040502377,Social Psychiatry and Psychiatric Epidemiology,#ff7f0e
4.479988,7.644014,Sociology,#d62728
-3.4096437,3.274013,Significance,#d62728
9.194098,2.3190973,Child Development,#d62728
2.8533535,8.256384,First Monday,#1f77b4
-7.700295,5.8269234,Computer Law & Security Review,#1f77b4
0.7995285,-2.063347,British Food Journal,#d62728
9.84921,1.8322194,Learning & Behavior,#d62728
5.0132637,7.508412,Asia Pacific Journal of Anthropology,#d62728
1.7454922,-0.8873518,Animal Behaviour,#2ca02c
0.025732884,-0.651892,Human Ecology,#d62728
4.97454,7.727376,Ethnos,#d62728
10.061649,-1.9477863,Physical Therapy Reviews,#ff7f0e
9.929002,-8.759603,Journal of the American Podiatric Medical Association,#ff7f0e
10.235274,-1.9625106,Physiotherapy,#ff7f0e
7.2296925,-1.1191272,Medicine and Science in Sports and Exercise,#ff7f0e
7.7770143,-3.4152396,Cochrane Database of Systematic Reviews,#ff7f0e
6.1418476,-6.467533,Rheumatology,#ff7f0e
7.4096785,-1.0185205,Sports Medicine,#ff7f0e
6.991901,-4.1244216,Diabetes Research and Clinical Practice,#ff7f0e
10.744647,-1.7934101,Journal of Foot and Ankle Research,#ff7f0e
9.075873,-2.1847198,Age and Ageing,#ff7f0e
7.7795243,-1.4179862,Journal of Science and Medicine in Sport,#ff7f0e
10.20591,-2.0518641,Clinical Biomechanics,#ff7f0e
9.562105,-1.8395284,Journal of Electromyography and Kinesiology,#ff7f0e
7.5811667,-2.0498738,The New Zealand Medical Journal,#ff7f0e
10.435385,-1.9666613,European Journal of Physical and Rehabilitation Medicine,#ff7f0e
10.403753,-1.8970834,Physiotherapy Research International,#ff7f0e
6.151526,-6.164098,Arthritis Care and Research,#ff7f0e
9.909469,-2.3713434,Pain Research & Management,#ff7f0e
